Nombre municipio,Leve,Fallecido,Total,% Leve,% Fallecido
AGUADAS,167,6,173,96.5,3.5
ANSERMA,191,12,203,94.1,5.9
ARANZAZU,73,5,78,93.6,6.4
BELALCAZAR,49,4,53,92.5,7.5
CHINCHINA,919,48,967,95.0,5.0
FILADELFIA,189,9,198,95.5,4.5
LA DORADA,954,45,999,95.5,4.5
LA MERCED,41,1,42,97.6,2.4
MANZANARES,157,8,165,95.2,4.8
MARMATO,136,4,140,97.1,2.9
MARQUETALIA,112,4,116,96.6,3.4
MARULANDA,14,0,14,100.0,0.0
NEIRA,231,10,241,95.9,4.1
NORCASIA,67,3,70,95.7,4.3
PACORA,208,5,213,97.7,2.3
PALESTINA,110,10,120,91.7,8.3
PENSILVANIA,65,3,68,95.6,4.4
RIOSUCIO,221,14,235,94.0,6.0
RISARALDA,43,3,46,93.5,6.5
SALAMINA,142,5,147,96.6,3.4
SAMANA,166,1,167,99.4,0.6
SAN JOSE,18,1,19,94.7,5.3
SUPIA,203,12,215,94.4,5.6
VICTORIA,84,2,86,97.7,2.3
VILLAMARIA,1672,41,1713,97.6,2.4
VITERBO,179,11,190,94.2,5.8
